Brand,Model,Features
Hyundai,Grand i10,Sportz (O) 1.2 Kappa VTVT [2017-2018]
Toyota,Corolla Altis,1.8 G
Audi,Q3,30 TDI Premium FWD
Mercedes-Benz,GLA,220d [2021-2023]
Mercedes-Benz,GLE,450 4MATIC LWB [2020-2023]
Volkswagen,Virtus,Topline 1.0 TSI AT
Mercedes-Benz,EQB,350 4MATIC
Mercedes-Benz,EQA,250 Plus
Hyundai,Aura,SX 1.2 CNG
BMW,X3,xDrive 20d Luxury Line [2018-2020]
BMW,3 Series,GT 320d Luxury Line [2014-2016]
BMW,X1,sDrive20d xLine
Honda,Amaze,1.2 S i-VTEC
